datetime_from_local,datetime_to_local,value,parameter
2025-04-17T00:00:00+04:00,2025-04-18T00:00:00+04:00,12.8,pm25
2025-04-18T00:00:00+04:00,2025-04-19T00:00:00+04:00,6.93,pm25
2025-04-19T00:00:00+04:00,2025-04-20T00:00:00+04:00,49.8,pm25
2025-04-20T00:00:00+04:00,2025-04-21T00:00:00+04:00,10.1,pm25
2025-04-21T00:00:00+04:00,2025-04-22T00:00:00+04:00,14.9,pm25
2025-04-22T00:00:00+04:00,2025-04-23T00:00:00+04:00,10.2,pm25
2025-04-23T00:00:00+04:00,2025-04-24T00:00:00+04:00,10.6,pm25
2025-04-24T00:00:00+04:00,2025-04-25T00:00:00+04:00,27.1,pm25
2025-04-25T00:00:00+04:00,2025-04-26T00:00:00+04:00,4.69,pm25
2025-04-26T00:00:00+04:00,2025-04-27T00:00:00+04:00,8.73,pm25
2025-04-27T00:00:00+04:00,2025-04-28T00:00:00+04:00,6.06,pm25
2025-04-28T00:00:00+04:00,2025-04-29T00:00:00+04:00,6.47,pm25
2025-04-29T00:00:00+04:00,2025-04-30T00:00:00+04:00,12.4,pm25
2025-04-30T00:00:00+04:00,2025-05-01T00:00:00+04:00,15.7,pm25
2025-05-01T00:00:00+04:00,2025-05-02T00:00:00+04:00,15.3,pm25
2025-05-02T00:00:00+04:00,2025-05-03T00:00:00+04:00,9.74,pm25
2025-05-03T00:00:00+04:00,2025-05-04T00:00:00+04:00,81.0,pm25
2025-05-04T00:00:00+04:00,2025-05-05T00:00:00+04:00,7.42,pm25
2025-05-05T00:00:00+04:00,2025-05-06T00:00:00+04:00,6.42,pm25
2025-05-06T00:00:00+04:00,2025-05-07T00:00:00+04:00,6.34,pm25
2025-05-07T00:00:00+04:00,2025-05-08T00:00:00+04:00,9.67,pm25
2025-05-08T00:00:00+04:00,2025-05-09T00:00:00+04:00,6.69,pm25
2025-05-09T00:00:00+04:00,2025-05-10T00:00:00+04:00,27.3,pm25
2025-05-10T00:00:00+04:00,2025-05-11T00:00:00+04:00,5.72,pm25
2025-05-11T00:00:00+04:00,2025-05-12T00:00:00+04:00,5.89,pm25
2025-05-12T00:00:00+04:00,2025-05-13T00:00:00+04:00,5.62,pm25
2025-05-13T00:00:00+04:00,2025-05-14T00:00:00+04:00,11.1,pm25
2025-05-14T00:00:00+04:00,2025-05-15T00:00:00+04:00,6.55,pm25
2025-05-15T00:00:00+04:00,2025-05-16T00:00:00+04:00,7.29,pm25
2025-05-16T00:00:00+04:00,2025-05-17T00:00:00+04:00,5.95,pm25
2025-05-17T00:00:00+04:00,2025-05-18T00:00:00+04:00,6.5,pm25
2025-05-18T00:00:00+04:00,2025-05-19T00:00:00+04:00,6.71,pm25
2025-05-19T00:00:00+04:00,2025-05-20T00:00:00+04:00,5.79,pm25
2025-05-20T00:00:00+04:00,2025-05-21T00:00:00+04:00,7.23,pm25
2025-05-21T00:00:00+04:00,2025-05-22T00:00:00+04:00,5.56,pm25
2025-05-22T00:00:00+04:00,2025-05-23T00:00:00+04:00,7.75,pm25
2025-05-23T00:00:00+04:00,2025-05-24T00:00:00+04:00,9.96,pm25
2025-05-24T00:00:00+04:00,2025-05-25T00:00:00+04:00,6.82,pm25
2025-05-25T00:00:00+04:00,2025-05-26T00:00:00+04:00,6.9,pm25
2025-05-26T00:00:00+04:00,2025-05-27T00:00:00+04:00,7.91,pm25
2025-05-27T00:00:00+04:00,2025-05-28T00:00:00+04:00,7.0,pm25
2025-05-28T00:00:00+04:00,2025-05-29T00:00:00+04:00,8.07,pm25
2025-05-29T00:00:00+04:00,2025-05-30T00:00:00+04:00,8.01,pm25
2025-05-30T00:00:00+04:00,2025-05-31T00:00:00+04:00,8.75,pm25
2025-05-31T00:00:00+04:00,2025-06-01T00:00:00+04:00,8.07,pm25
2025-06-01T00:00:00+04:00,2025-06-02T00:00:00+04:00,8.01,pm25
2025-06-02T00:00:00+04:00,2025-06-03T00:00:00+04:00,8.46,pm25
2025-06-03T00:00:00+04:00,2025-06-04T00:00:00+04:00,7.04,pm25
2025-06-04T00:00:00+04:00,2025-06-05T00:00:00+04:00,6.15,pm25
2025-06-05T00:00:00+04:00,2025-06-06T00:00:00+04:00,10.9,pm25
2025-06-06T00:00:00+04:00,2025-06-07T00:00:00+04:00,8.86,pm25
2025-06-07T00:00:00+04:00,2025-06-08T00:00:00+04:00,6.86,pm25
2025-06-08T00:00:00+04:00,2025-06-09T00:00:00+04:00,8.94,pm25
2025-06-09T00:00:00+04:00,2025-06-10T00:00:00+04:00,8.78,pm25
2025-06-10T00:00:00+04:00,2025-06-11T00:00:00+04:00,8.87,pm25
2025-06-11T00:00:00+04:00,2025-06-12T00:00:00+04:00,8.96,pm25
2025-06-12T00:00:00+04:00,2025-06-13T00:00:00+04:00,8.7,pm25
2025-06-13T00:00:00+04:00,2025-06-14T00:00:00+04:00,8.99,pm25
2025-06-14T00:00:00+04:00,2025-06-15T00:00:00+04:00,11.6,pm25
2025-06-15T00:00:00+04:00,2025-06-16T00:00:00+04:00,25.6,pm25
2025-06-16T00:00:00+04:00,2025-06-17T00:00:00+04:00,5.0,pm25
2025-06-17T00:00:00+04:00,2025-06-18T00:00:00+04:00,6.26,pm25
2025-06-18T00:00:00+04:00,2025-06-19T00:00:00+04:00,4.89,pm25
2025-06-19T00:00:00+04:00,2025-06-20T00:00:00+04:00,7.4,pm25
2025-06-20T00:00:00+04:00,2025-06-21T00:00:00+04:00,8.13,pm25
2025-06-21T00:00:00+04:00,2025-06-22T00:00:00+04:00,9.91,pm25
2025-06-22T00:00:00+04:00,2025-06-23T00:00:00+04:00,8.32,pm25
2025-06-23T00:00:00+04:00,2025-06-24T00:00:00+04:00,7.4,pm25
2025-06-24T00:00:00+04:00,2025-06-25T00:00:00+04:00,5.86,pm25
2025-06-25T00:00:00+04:00,2025-06-26T00:00:00+04:00,7.3,pm25
2025-06-26T00:00:00+04:00,2025-06-27T00:00:00+04:00,7.37,pm25
2025-06-27T00:00:00+04:00,2025-06-28T00:00:00+04:00,7.45,pm25
2025-06-28T00:00:00+04:00,2025-06-29T00:00:00+04:00,9.0,pm25
2025-06-29T00:00:00+04:00,2025-06-30T00:00:00+04:00,9.5,pm25
2025-06-30T00:00:00+04:00,2025-07-01T00:00:00+04:00,5.81,pm25
2025-07-01T00:00:00+04:00,2025-07-02T00:00:00+04:00,5.74,pm25
2025-07-02T00:00:00+04:00,2025-07-03T00:00:00+04:00,5.47,pm25
2025-07-03T00:00:00+04:00,2025-07-04T00:00:00+04:00,5.3,pm25
2025-07-04T00:00:00+04:00,2025-07-05T00:00:00+04:00,7.31,pm25
2025-07-05T00:00:00+04:00,2025-07-06T00:00:00+04:00,22.5,pm25
2025-07-06T00:00:00+04:00,2025-07-07T00:00:00+04:00,7.84,pm25
2025-07-07T00:00:00+04:00,2025-07-08T00:00:00+04:00,9.96,pm25
2025-07-08T00:00:00+04:00,2025-07-09T00:00:00+04:00,5.55,pm25
2025-07-09T00:00:00+04:00,2025-07-10T00:00:00+04:00,6.59,pm25
2025-07-10T00:00:00+04:00,2025-07-11T00:00:00+04:00,6.68,pm25
2025-07-11T00:00:00+04:00,2025-07-12T00:00:00+04:00,7.56,pm25
2025-07-12T00:00:00+04:00,2025-07-13T00:00:00+04:00,7.68,pm25
2025-07-13T00:00:00+04:00,2025-07-14T00:00:00+04:00,6.61,pm25
2025-07-14T00:00:00+04:00,2025-07-15T00:00:00+04:00,6.85,pm25
2025-07-15T00:00:00+04:00,2025-07-16T00:00:00+04:00,7.39,pm25
2025-07-16T00:00:00+04:00,2025-07-17T00:00:00+04:00,7.23,pm25
2025-07-17T00:00:00+04:00,2025-07-18T00:00:00+04:00,7.57,pm25
2025-07-18T00:00:00+04:00,2025-07-19T00:00:00+04:00,7.99,pm25
2025-07-19T00:00:00+04:00,2025-07-20T00:00:00+04:00,8.72,pm25
2025-07-20T00:00:00+04:00,2025-07-21T00:00:00+04:00,7.59,pm25
2025-07-21T00:00:00+04:00,2025-07-22T00:00:00+04:00,9.62,pm25
2025-07-22T00:00:00+04:00,2025-07-23T00:00:00+04:00,8.88,pm25
2025-07-23T00:00:00+04:00,2025-07-24T00:00:00+04:00,8.46,pm25
2025-07-24T00:00:00+04:00,2025-07-25T00:00:00+04:00,10.2,pm25
2025-07-25T00:00:00+04:00,2025-07-26T00:00:00+04:00,9.18,pm25
2025-07-26T00:00:00+04:00,2025-07-27T00:00:00+04:00,9.43,pm25
2025-07-27T00:00:00+04:00,2025-07-28T00:00:00+04:00,10.8,pm25
